type,newcat,catdesc
1,1,Economy and trade
4,1,Economy and trade
9,1,Economy and trade
17,1,Economy and trade
24,1,Economy and trade
25,1,Economy and trade
49,1,Economy and trade
77,1,Economy and trade
79,1,Economy and trade
80,1,Economy and trade
3,2,Environment and energy
15,2,Environment and energy
28,2,Environment and energy
5,3,"Agriculture, fisheries and food"
14,3,"Agriculture, fisheries and food"
34,3,"Agriculture, fisheries and food"
12,4,Culture and Education
13,4,Culture and Education
23,4,Culture and Education
26,4,Culture and Education
29,4,Culture and Education
31,4,Culture and Education
56,4,Culture and Education
2,5,Local government
8,5,Local government
21,5,Local government
39,5,Local government
50,5,Local government
78,5,Local government
18,6,Welfare
20,6,Welfare
40,6,Welfare
41,6,Welfare
48,6,Welfare
6,7,"Law, order, defense, foreign policy, prime ministers office"
7,7,"Law, order, defense, foreign policy, prime ministers office"
11,7,"Law, order, defense, foreign policy, prime ministers office"
19,7,"Law, order, defense, foreign policy, prime ministers office"
22,7,"Law, order, defense, foreign policy, prime ministers office"
33,7,"Law, order, defense, foreign policy, prime ministers office"
36,7,"Law, order, defense, foreign policy, prime ministers office"
