"leg","mu_length","sd_length","long_thr","non_sig","sig","period","npart"
"14",26.1336515513126,44.8028780772251,34,333,86,"1953-57",6
"15",24.0975609756098,34.6970858876901,35.2,328,82,"1957-60",6
"16",26.719836400818,33.6374905981952,40,387,102,"1960-64",6
"17",21.2218045112782,32.0702009179882,25,211,55,"1964-66",6
"18",20.9075144508671,30.3675661045087,28.6,138,35,"1966-68",6
"19",20.9272151898734,29.5071683224072,29,504,128,"1968-71",6
"20",21.758152173913,35.2013854207588,30,289,79,"1971-73",5
"21",29.2166666666667,42.7577077101597,41,95,25,"1973-75",10
"22",20.2005012531328,32.8282403820595,25,318,81,"1975-77",10
"23",21.8265306122449,34.3266855595743,28,234,60,"1977-78",11
"24",24.8211920529801,30.7755500557862,38,120,31,"1978-79",11
"25",21.920245398773,24.5070744185221,30,258,68,"1979-81",10
"26",19.5283018867925,20.5878209422171,25.8,127,32,"1981-82",9
"27",23.0578034682081,29.1562971343938,30,135,38,"1982-84",9
"28",19.8914858096828,28.2574152394748,25,476,123,"1984-87",9
"29",11.9578947368421,9.88757633262483,19,74,21,"1987-88",9
"30",21.3123486682809,29.8829718624913,29,328,85,"1988-90",8
"31",16.719262295082,30.4813720653534,19,384,104,"1990-93",8
"32",16.1890547263682,23.8859317436819,20,315,87,"1993-94",8
"33",9.03598484848485,14.7143784827154,10,411,117,"1994-96",8
"34",9.61089494163424,12.0900090296317,12,193,64,"1996-98",8
"35",10.0327455919395,15.2549228659196,13,631,163,"1998-01",10
"36",14.2887218045113,21.3696865238781,19,531,134,"2001-",8
